feature,importance
facing_amount_stack_fraction,18.52406828875775
facing_amount_bb,10.532789571427914
can_check,9.831230316639536
keras_equity,9.511691867959069
players_in_hand_fraction,5.852122153599059
last_aggressor_is_self,4.4801745824665975
pot_bb,4.112766755202831
street,3.333922059258734
players_left_fraction,3.1135866867625546
stack_bb,3.046091692770309
card_bucket,2.638199171437996
previous_raises_in_hand,2.564571408996723
amount_put_in_pot_bb,2.534269830767714
stack_to_pot_ratio,2.458054288020586
pot_stack_fraction,2.1878234062876483
seat_bucket,2.0190889278000608
amount_put_in_pot_stack_fraction,1.9945098865437403
call_ev,1.872109867113743
personal_flush_fraction,1.6268030652456025
previous_raises_by_self_in_hand,1.4332697558836631
stack_rank_fraction,1.3516086313873221
personal_straight_fraction,1.2240064676229094
board_flush_fraction,0.9356839306043523
has_highest_pair,0.8256270897983609
board_straight_fraction,0.7070755141577184
paired,0.5860890319396198
board_max_rank_count,0.34358331612375087
suitedness,0.3299664387673591
board_two_pair_or_better,0.029215996656806853
